author,statement,source,date,label
Conor Amendola,Proposed data centers in New York state would use “approximately double the energy usage of all households in the state combined.”,Liz Krueger,2026-03-05,Barely True
Louis Jacobson,“California only has ‘enough’ oil and gas supply to meet demand for the next six weeks.”,X posts,2026-05-06,False
Louis Jacobson,"“Consumer confidence is way up.""",Donald Trump,2026-05-04,False
Emma Gavazzi,"From January 2025 to January 2026, “hate crimes in New York City increased by 152%”",Sam Sutton,2026-03-11,Mostly True
Samantha Putterman,"“Under federal law, you cannot engage in partisan gerrymandering.”",Fentrice Driskell,2026-04-29,False
Maria Briceño,Imagen muestra que “950 inmigrantes derrumbaron el muro fronterizo entre México y Estados Unidos intentando ingresar a Estados Unidos” en abril 2026.,Instagram posts,2026-04-26,False
Amy Sherman,"“As a result of the 'Big Beautiful Bill' 15 million Americans have been thrown off the healthcare that they need.""",Bernie Sanders,2026-04-22,Barely True
Louis Jacobson,“Secret Service remains unpaid” during the partial government shutdown.,Tim Scott,2026-04-26,False
Amy Sherman,"“Graham Platner blames Maine’s women for getting raped because he says they get f----- up drunk""",Pine Tree Results PAC,2026-04-26,Half True
Maria Briceño,Video shows “unedited raw security footage” of the shooter at the April 25 White House Correspondents’ Association dinner.,Social Media,2026-04-26,False
Louis Jacobson,“We are right now producing more oil than Saudi Arabia and Russia combined.”,Donald Trump,2026-04-23,Mostly True
Louis Jacobson,"Since the 2020 census, Florida has ""moved from a Democrat majority to a 1.5 million Republican advantage.""",Ron DeSantis,2026-04-27,Half True
Maria Briceño,"“Tras el atentado a Trump”, en la cena de corresponsales de la Casa Blanca el 25 de abril, “Irán lanza un mensaje fuerte: ‘no le crean nada, miente’”.",Social Media,2026-04-26,False
Samantha Putterman,"U.S. Rep. Byron Donalds voted ""against three pay raises for military service members, including the largest pay raise for the military in 22 years.""",Jay Collins,2026-04-20,Barely True
Louis Jacobson,"""There's two ways of calculating percentage"" decreases. “If you have a $600 drug and you reduce it to $10, that's a 600% reduction.""",Robert F. Kennedy Jr.,2026-04-22,Pants Fire
Grace Abels,"“With one dose of ibogaine, more than 80% of people are free of (opioid) addiction. With two doses, it's more than 90%.”",Joe Rogan,2026-04-18,Barely True
Maria Briceño,“Newly released FOIA door logs show that former President Joe Biden didn't enter the Oval Office once after the 2024 election.”,X posts,2026-04-21,Pants Fire
Louis Jacobson,Solar and wind have not reached “3% of global energy.”,Chris Wright,2026-04-19,Half True
Loreben Tuquero,Video shows President Donald Trump at the Walter Reed National Military Medical Center.,Facebook posts,2026-04-19,False
Zoe Weyand,"President Donald Trump's proposed 2027 military budget would be ""the largest spending increase since World War II.”",Democratic National Committee,2026-04-03,Mostly True
Loreben Tuquero,"Video shows the United States’ April 19, 2026, strike on an Iranian cargo ship.",Social Media,2026-04-19,False
Amy Sherman,"“83% of us favor requiring a photo ID to vote. In fact, most of the civilized world requires it but not us.”",Restoration of America,2026-04-13,Half True
Maria Briceño,"El papa León XIV ""pide destituir a Donald Trump"".",Social Media,2026-04-14,False
Louis Jacobson,“Thom Tillis is no longer a senator.”,Donald Trump,2026-04-15,False
Louis Jacobson,"The U.S. Navy was created ""to free international waters from the Barbary pirates.""",Byron Donalds,2026-04-12,Mostly True
Samantha Putterman,“The Dignity Act is mass amnesty.”,Brandon Gill,2026-04-07,Half True
Maria Briceño,Pope Leo XIV “thinks it’s OK for Iran to have a nuclear weapon.”,Donald Trump,2026-04-12,Pants Fire
Amy Sherman,“Moulton voted with Republicans to thank ICE for protecting our homeland. He thanked ICE as they were terrorizing our communities and killed citizens in broad daylight.”,Commonwealth Together PAC,2026-04-08,Barely True
Maria Briceño,Photos and clips show the moon from Artemis II.,Social Media,2026-04-06,False
Loreben Tuquero,Video shows a US soldier crying and saying she misses home and her family.,Social Media,2026-04-04,False
Maria Briceño,Photos show rescues of U.S. F-15 airmen from Iran in April 2026.,Social Media,2026-04-05,Pants Fire
Jill Terreri Ramos,"As Nassau County Executive, I hired 600 new law enforcement officers and made Nassau the safest county in America.",Bruce Blakeman,2026-03-10,Barely True
Louis Jacobson,"""Bombing civilian power infrastructure is a war crime.”",Seth Moulton,2026-03-24,Mostly True
Holden Turek,New York leads the nation in population loss.,Marc Molinaro,2026-02-14,Half True
Louis Jacobson,“We've had regime change.”,Donald Trump,2026-03-29,Barely True
Emma Gavazzi,Milk prices “currently are no higher than they were in 1980’s.”,Blake Gendebien,2026-01-30,Mostly True
Louis Jacobson,“More Americans are working today than at any time in the history of our country.”,Donald Trump,2026-03-27,Half True
Maria Briceño,Video shows ICE agent removing “US citizen on a plane for being Latino.”,Facebook posts,2026-03-26,False
Loreben Tuquero,Image shows President Donald Trump asked Florida Gov. Ron DeSantis on Truth Social to pardon Tiger Woods following a DUI charge.,Social Media,2026-03-27,False
Amy Sherman,"""Mail-in voting means mail-in cheating.”",Donald Trump,2026-03-23,Pants Fire
Amy Sherman,"The SAVE America Act “requires everyone to re-register to vote in person and your driver’s license, REAL ID, or military ID aren’t even good enough.”",Mark Kelly,2026-03-17,Half True
Loreben Tuquero,Video shows Israelis fleeing to Cyprus.,Social Media,2026-03-19,False
Samantha Putterman,"""Youth underemployment for college grads is 70%"" nationwide.",James Fishback,2026-03-11,False
Amy Sherman,“9% of American citizens don't have the identification that the SAVE act requires to vote. Almost 1 in 10.”,Tammy Duckworth,2026-03-18,Mostly True
Amy Sherman,“You can't shovel snow in New York City without an ID.”,Katie Britt,2026-03-19,Barely True
Zoe Weyand,"“In the modern era, no American president has ordered more military strikes against as many different countries as Donald Trump.”",Elizabeth Warren,2026-03-03,True
Louis Jacobson,"The SAVE America Act “would force Americans to register (to vote) only in person, something only 5% of Americans do today.""",Charles Schumer,2026-03-17,Half True
Samantha Putterman,Florida school districts are the “biggest” drivers of increased property taxes.,Byron Donalds,2026-03-08,Barely True
Grace Abels,Video shows toddler crying over casket of American service member killed in Iran.,Social Media,2026-03-15,False
